Rank,Artist,Song,Popularity,URL
Top 1,Mckay,Lumberjacc,55,https://open.spotify.com/track/4FXX8rRPVqK2l19ZS7296V
Top 2,Mckay,Groove Armada (Interlude),30,https://open.spotify.com/track/4DOe9UTFqF2psR6lkisjRW
Top 3,Mckay,Signal Hill (freestyle),15,https://open.spotify.com/track/3GcYxn3UJttM7jITefMVOE
Top 4,Mckay,Gang Gang,15,https://open.spotify.com/track/3DP6a6pP0TP3FhwbtGR7fC
Top 5,Mckay,Save My Soul (interlude),15,https://open.spotify.com/track/38M9jDWC1BYVOeMMEP9x2G
Top 6,Mckay,DIRTY,3,https://open.spotify.com/track/1RZmKZUinzMY7GP3Ic9XdK
