Rank,Artist,Song,Popularity,URL
1,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),79,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2
2,Ariana Grande,Doin' Time,77,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
3,Ariana Grande,Young And Beautiful,75,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9
4,Ariana Grande,Fuck it I love you,74,https://open.spotify.com/track/7MtVPRGtZl6rPjMfLoI3Lh
5,Ariana Grande,Norman fucking Rockwell,73,https://open.spotify.com/track/3RIgHHpnFKj5Rni1shokDj
6,Ariana Grande,Cinnamon Girl,72,https://open.spotify.com/track/2mdEsXPu8ZmkHRRtAdC09e
7,Ariana Grande,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,72,https://open.spotify.com/track/6PUIzlqotEmPuBfjbwYWOB
8,Ariana Grande,hope is a dangerous thing for a woman like me to have - but I have it,72,https://open.spotify.com/track/0fB77VOZ2FkQeKLv1DuEwp
9,Ariana Grande,Mariners Apartment Complex,71,https://open.spotify.com/track/6OG05bPAwUuV3OMvy2Vy1P
10,Ariana Grande,Summertime Sadness,59,https://open.spotify.com/track/0l2HaL3nbp9AFJ428p4yaA
1,Brigitte Bardot,Bonnie And Clyde,56,https://open.spotify.com/track/358jMpTqOfIOYjpcg2Ig2j
2,Brigitte Bardot,Je suis venu te dire que je m'en vais,55,https://open.spotify.com/track/5cC9RZFMzrpbA9U1m4zSPm
3,Brigitte Bardot,La javanaise,53,https://open.spotify.com/track/7cUKT1Wiwve4E5iRFOLVmz
4,Brigitte Bardot,La chanson de Prévert,51,https://open.spotify.com/track/0Y04xGwKImCqVSFZQI5All
5,Brigitte Bardot,Couleur café,38,https://open.spotify.com/track/5wU2HvqNDljN1GhTvOxWye
6,Brigitte Bardot,L'anamour,38,https://open.spotify.com/track/3JXetADcHjmpQh1kSPuJgV
7,Brigitte Bardot,Initials B.B.,48,https://open.spotify.com/track/5hjsmSnUefdUqzsDogisiX
8,Brigitte Bardot,Je t'aime moi non plus,48,https://open.spotify.com/track/5P0tWr5JZqDoi5wq2OalFH
9,Brigitte Bardot,Ballade de Melody Nelson,47,https://open.spotify.com/track/1wPNVQqGT9LG39nzeyzIvF
10,Brigitte Bardot,Melody,47,https://open.spotify.com/track/1fWUWwXvAxlLEwJOVq67zE
1,Reba McEntire,The Night The Lights Went Out In Georgia,63,https://open.spotify.com/track/2MiXC2LfpsoeUP5RvMGEQ3
2,Reba McEntire,Fancy,58,https://open.spotify.com/track/0FtV0YbnnjD7PXpLHFHPhn
3,Reba McEntire,Consider Me Gone,57,https://open.spotify.com/track/0fNCLvSVUEK7NTwhu5vk5B
4,Reba McEntire,Back To God,52,https://open.spotify.com/track/17na7DhhBLsajSS7Vb38Fe
5,Reba McEntire,Because Of You,51,https://open.spotify.com/track/5LGEfWqwgYL16tyXkrRC8J
6,Reba McEntire,"If You See Him, If You See Her",51,https://open.spotify.com/track/4TxIFLRMUxNh4n9h4RLsaE
7,Reba McEntire,Does He Love You,50,https://open.spotify.com/track/3IDK0isTMm8E4ynYqEkqrJ
8,Reba McEntire,Is There Life Out There,50,https://open.spotify.com/track/1NIUECyq3vHFrWeFGKvESB
9,Reba McEntire,How Was I To Know,49,https://open.spotify.com/track/6sz2h1zD1d7clz6Y9hb496
10,Reba McEntire,The Fear Of Being Alone,48,https://open.spotify.com/track/5NFtmubmKmQ3rSs0TWLkde
1,Eagles Of Death Metal,Miss Alissa,47,https://open.spotify.com/track/1dlgaGdQXmsYKMRuewIZkF
2,Eagles Of Death Metal,Wannabe In L.A,47,https://open.spotify.com/track/68HGqHHc41qmJHUWlLUKCd
3,Eagles Of Death Metal,Save A Prayer,52,https://open.spotify.com/track/3NA45jwwGH28LsHthauYK0
4,Eagles Of Death Metal,"Blinded By The Light - From ""Super Troopers 2"" Soundtrack",50,https://open.spotify.com/track/3kgtj0csPcN5uqPyEObXu9
5,Eagles Of Death Metal,Family Affair,48,https://open.spotify.com/track/6lr73ucUCPbdw1Ge4cw4UM
6,Eagles Of Death Metal,Don't Speak (I Came To Make A Bang!),48,https://open.spotify.com/track/32I9MdnqhFLCnAwA2wUnTz
7,Eagles Of Death Metal,I Want You So Hard (Boy's Bad News),48,https://open.spotify.com/track/5Fk03RQDlxc1qWe0ySDohB
8,Eagles Of Death Metal,I Only Want You,43,https://open.spotify.com/track/5D1oPeuU4sGUwI5obM4bKZ
9,Eagles Of Death Metal,Complexity,44,https://open.spotify.com/track/5qVPF3mjUkGSLda9ISeWjF
10,Eagles Of Death Metal,God Of Thunder,42,https://open.spotify.com/track/0YwwW05rEGzJ861Rp1whr3
1,Beastie Boys,Sabotage,71,https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9
2,Beastie Boys,Fight For Your Right,68,https://open.spotify.com/track/5NLuC70kZQv8q34QyQa1DP
3,Beastie Boys,Intergalactic - Remastered,68,https://open.spotify.com/track/5fpizYGbi5IQoEraj6FP0R
4,Beastie Boys,No Sleep Till Brooklyn,67,https://open.spotify.com/track/5qxChyzKLEyoPJ5qGrdurN
5,Beastie Boys,Brass Monkey,62,https://open.spotify.com/track/2tY1gxCKslfXLFpFofYmJQ
6,Beastie Boys,Paul Revere,59,https://open.spotify.com/track/3gKwVWwKmeuFtPubICbOGc
7,Beastie Boys,Girls,58,https://open.spotify.com/track/5h40ovzXu7rF7Giwb9oXYy
8,Beastie Boys,Sure Shot,56,https://open.spotify.com/track/21REQ1bCUWphT2QK3bLWYQ
9,Beastie Boys,So What'Cha Want - 1999 - Remaster,56,https://open.spotify.com/track/25pl7kV4OxafIc9wPAggYf
10,Beastie Boys,Ch-Check It Out,56,https://open.spotify.com/track/56H98l4uinRifnTH8e308N
1,Wes Montgomery,A Day In The Life,59,https://open.spotify.com/track/5FBf12F4ry9TXoZAvISu6F
2,Wes Montgomery,In Your Own Sweet Way,52,https://open.spotify.com/track/5Y8XLhYm4ZeMU25Rg24YoH
3,Wes Montgomery,Bumpin' On Sunset,47,https://open.spotify.com/track/1yxJK6q9oymWO3vjbPCYmp
4,Wes Montgomery,Days Of Wine And Roses,46,https://open.spotify.com/track/1yegDiVa8d94H07ga1SLOt
5,Wes Montgomery,Polka Dots And Moonbeams,40,https://open.spotify.com/track/2M3laSC4qeLl9tWxDEzF4T
6,Wes Montgomery,Four On Six,38,https://open.spotify.com/track/4aOS6YINYO6UAPbiM5RO2U
7,Wes Montgomery,I Wish I Knew,38,https://open.spotify.com/track/1DDaR396iGhz2tqKqJrvoE
8,Wes Montgomery,Mellow Mood,35,https://open.spotify.com/track/0prES3YLpHY1MSs8ucqnQi
9,Wes Montgomery,West Coast Blues,36,https://open.spotify.com/track/1xlNWhgv6MgVKvGK3ZXauZ
10,Wes Montgomery,Tequila,34,https://open.spotify.com/track/4GteYBDgn0o1fnJl6SAsZN
1,Maroon 5,Memories,94,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,Maroon 5,Sugar,80,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
3,Maroon 5,She Will Be Loved - Radio Mix,80,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16
4,Maroon 5,Girls Like You (feat. Cardi B),72,https://open.spotify.com/track/6V1bu6o1Yo5ZXnsCJU8Ovk
5,Maroon 5,Payphone,72,https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ
6,Maroon 5,This Love,76,https://open.spotify.com/track/6ECp64rv50XVz93WvxXMGF
7,Maroon 5,Maps,76,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc
8,Maroon 5,What Lovers Do (feat. SZA),69,https://open.spotify.com/track/2j5hsQvApottzvTn4pFJWF
9,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,69,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN
10,Maroon 5,Animals,74,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x
1,Scott Walker,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),53,https://open.spotify.com/track/1RJkO4wNDYEuniXzg6WzA1
2,Scott Walker,It's Raining Today,47,https://open.spotify.com/track/1QtdHvQeFgSE7R7AuLPccZ
3,Scott Walker,30 Century Man,45,https://open.spotify.com/track/6u0EHlRPgUIfER7ZAE4x6Q
4,Scott Walker,Jackie,42,https://open.spotify.com/track/13GgSNZhnaeOux6Jtgch4s
5,Scott Walker,Duchess,41,https://open.spotify.com/track/3Pm0GbwAVDYu4BNPQrQPfw
6,Scott Walker,Montague Terrace (In Blue),37,https://open.spotify.com/track/0X7N5udP0MTvfsikLHfHrR
7,Scott Walker,The Seventh Seal,36,https://open.spotify.com/track/6v0eW4ZAd5t68R3BKMtW8o
8,Scott Walker,On Your Own Again,36,https://open.spotify.com/track/3EfSO1aKk4QDOrZhGjnTlq
9,Scott Walker,Boy Child,35,https://open.spotify.com/track/4GjXCrEcG59a6CG8PUowil
10,Scott Walker,Farmer In The City,34,https://open.spotify.com/track/1riX7P7D7CL0ui06UqBquh
1,Peter Frampton,Show Me The Way,66,https://open.spotify.com/track/6BD1X1PeV5UzYUdiVaD2yL
2,Peter Frampton,"Baby, I Love Your Way - Live",61,https://open.spotify.com/track/1ksayCHVLH4eKFm43GFokU
3,Peter Frampton,Do You Feel Like We Do,53,https://open.spotify.com/track/3AMFDhgJx5sIYw1ukbiEk4
4,Peter Frampton,Breaking All The Rules,53,https://open.spotify.com/track/6ItRcZaLxV5oSSJyhbwFkj
5,Peter Frampton,"Baby, I Love Your Way",53,https://open.spotify.com/track/3bhgNgvkuYUpvT3Aa8nobd
6,Peter Frampton,Show Me The Way - Live,51,https://open.spotify.com/track/5uS8HGp7VfuU5fDarEbNi7
7,Peter Frampton,Do You Feel Like We Do - Live,49,https://open.spotify.com/track/0qqRwBkq7oWv6QnIRLfQKe
8,Peter Frampton,Ripple - Live,47,https://open.spotify.com/track/5D9PzL95N2AE7hGj7r8kSw
9,Peter Frampton,I'm In You,46,https://open.spotify.com/track/03zB9duFz1JqLxAIYvGdac
10,Peter Frampton,Lines On My Face - Live,38,https://open.spotify.com/track/2geamzmkkh52ihMxfbTIGm
1,Lester Young,There Will Never Be Another You,55,https://open.spotify.com/track/6oSm3mBWFxJHEnjE2IqhmA
2,Lester Young,These Foolish Things - Remastered 1995,49,https://open.spotify.com/track/7AHF3V7qRPhZV7gzJLZ3CL
3,Lester Young,I Can't Get Started,43,https://open.spotify.com/track/0kC4Rrdb4B4hAgt3PMoARe
4,Lester Young,Stardust,42,https://open.spotify.com/track/5gHPj9g3L9e2cu81LZUc5F
5,Lester Young,Almost Like Being In Love,39,https://open.spotify.com/track/2vGJACJBCVyEHk6lCcqiSO
6,Lester Young,Blue Lester,37,https://open.spotify.com/track/427fYkFx1Arn2qGQeGVGNT
7,Lester Young,On The Sunny Side Of The Street,35,https://open.spotify.com/track/42glcnGSZYpv5kg9izfAuP
8,Lester Young,Ad Lib Blues,30,https://open.spotify.com/track/6HyNJmMW1V4gl1RvSbQRQH
9,Lester Young,"Just You, Just Me",33,https://open.spotify.com/track/5beii4gDylW7eFnWJ1uZaH
10,Lester Young,I'm Confessin' (That I Love Your) - Remastered 1995,32,https://open.spotify.com/track/0x5aRZLmW64quXgFJ0IYvu
1,Taylor Swift,You Need To Calm Down,84,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
2,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),84,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
3,Taylor Swift,The Man,83,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
4,Taylor Swift,Lover,83,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
5,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],81,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
6,Taylor Swift,Only The Young - Featured in Miss Americana,78,https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC
7,Taylor Swift,I Forgot That You Existed,78,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
8,Taylor Swift,Blank Space,67,https://open.spotify.com/track/1kHEuJRasudLhjvnbfc4yS
9,Taylor Swift,Shake It Off,67,https://open.spotify.com/track/1CiVz2WkmZRwhU3A6J2Gjz
10,Taylor Swift,I Knew You Were Trouble.,76,https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E
1,Gregory Porter,Revival,63,https://open.spotify.com/track/0uW9gZMn6SVBSVp39umUy7
2,Gregory Porter,Liquid Spirit - Claptone Remix,62,https://open.spotify.com/track/6wp5tGVNQYpKJPo1s3WUEY
3,Gregory Porter,Revival - R3HAB Remix,58,https://open.spotify.com/track/4nSDyc7YOr4JADylhhhAAn
4,Gregory Porter,L-O-V-E,41,https://open.spotify.com/track/06V4dX5wFakgvxaOaOIkOV
5,Gregory Porter,The Girl From Ipanema,54,https://open.spotify.com/track/3niaqXwt6bSu5HCXJpaee7
6,Gregory Porter,Smile,39,https://open.spotify.com/track/1LNWh23vkQZeQkc5ogC3TP
7,Gregory Porter,Hey Laura,54,https://open.spotify.com/track/3VFr9JYb6ppsl4yxwerUXq
8,Gregory Porter,Holding On,46,https://open.spotify.com/track/0NnM0CgQaifZmhDquugyZV
9,Gregory Porter,But Beautiful,42,https://open.spotify.com/track/1wIpio4Lb8FHbn0BDVQFTZ
10,Gregory Porter,If Love Is Overrated,51,https://open.spotify.com/track/3jS9AdMbuL7UEkeU8bbs6f
1,J.J. Cale,After Midnight,61,https://open.spotify.com/track/1PC5GV3OaoXx5em8ttQOMI
2,J.J. Cale,Cocaine,58,https://open.spotify.com/track/6G3NoUqDpqD3Rgfel2pD6s
3,J.J. Cale,Call Me The Breeze,57,https://open.spotify.com/track/5AQpbyFoQmkOVwmlhKN4ii
4,J.J. Cale,Magnolia,57,https://open.spotify.com/track/43sdRsmJFcSnlTWTVRhYtz
5,J.J. Cale,Don't Go To Strangers,55,https://open.spotify.com/track/5qZKuuKGngifO5psg19XdO
6,J.J. Cale,Cherry,51,https://open.spotify.com/track/5cENc0N9NpJJB7FggcMjyS
7,J.J. Cale,Travelin' Light,50,https://open.spotify.com/track/6TXAZHsvrI7Ki20wTZAeu7
8,J.J. Cale,Danger,50,https://open.spotify.com/track/4jtIRaEzERJyksw8YJPdml
9,J.J. Cale,Ride Me High,48,https://open.spotify.com/track/2OnTluP3yNVsFXTkbuQ8VH
10,J.J. Cale,Heads in Georgia,48,https://open.spotify.com/track/223ebnSx4gnLXWAEsIfuB7
1,will.i.am,Scream & Shout,74,https://open.spotify.com/track/2iJuuzV8P9Yz0VSurttIV5
2,will.i.am,#thatPOWER,68,https://open.spotify.com/track/01TuObJVd7owWchVRuQbQw
3,will.i.am,I Like To Move It,66,https://open.spotify.com/track/4bAFo6r2ODMDoqM5YHV2gM
4,will.i.am,Love You More (feat. LAY & will.i.am),65,https://open.spotify.com/track/2hsQ2FX3VY21THYy43Hscl
5,will.i.am,Feelin' Myself,62,https://open.spotify.com/track/26XUAwGZqQEyy8Ubhtj4kq
6,will.i.am,It’s My Birthday,62,https://open.spotify.com/track/1pNcUexH7BdMFWFaxV3ltq
7,will.i.am,This Is Love,61,https://open.spotify.com/track/7IohFKIwrb75c4XaqX7WWo
8,will.i.am,Boys & Girls,58,https://open.spotify.com/track/6FJN9EiWE5Fh20WYrHfB5N
9,will.i.am,Big And Chunky,58,https://open.spotify.com/track/5wA5mA9v9lPxAaSg1FagG6
10,will.i.am,Bang Bang,55,https://open.spotify.com/track/3owESnQzGKXJhdZQDdXppK
1,Keith Richards,Hate It When You Leave,41,https://open.spotify.com/track/3b6wUTEuMoarUGWb9d5kLj
2,Keith Richards,Take It So Hard,38,https://open.spotify.com/track/1cJ0cJ7h00HviJTsLDmrsz
3,Keith Richards,Trouble,36,https://open.spotify.com/track/4ad6i49KKTPUFIbrQ0hK12
4,Keith Richards,Eileen,34,https://open.spotify.com/track/5fxTVTAnkYdCDALHd19UdO
5,Keith Richards,Wicked As It Seems,34,https://open.spotify.com/track/04AJcjNnmmnOwUdbFUj5Hv
6,Keith Richards,Make No Mistake,31,https://open.spotify.com/track/5AEDWD5WvmaRfCDBUJ5p0Y
7,Keith Richards,Crosseyed Heart,31,https://open.spotify.com/track/2lbU7u0bezTVMkCdgCay2Y
8,Keith Richards,Love Overdue,30,https://open.spotify.com/track/4CLLNsl0NadVeuoGiM7zEr
9,Keith Richards,Robbed Blind,29,https://open.spotify.com/track/1Z8Kev6SY0EztwJj0J8EBx
10,Keith Richards,Heartstopper,28,https://open.spotify.com/track/25U6RgAaeSDlnOkaM6tOkF
1,Fats Domino,Blueberry Hill,56,https://open.spotify.com/track/06PdA0DLgF4BfAeUNZAbFG
2,Fats Domino,Ain't That A Shame,57,https://open.spotify.com/track/4ZfQwNx3FlCN07cnUvekh3
3,Fats Domino,Jambalaya (On The Bayou) - Remastered 2002,42,https://open.spotify.com/track/69S4GgVyV3Fs7kIz5gl3rv
4,Fats Domino,Blue Monday,48,https://open.spotify.com/track/7iwQPvyViIkyT0HWnatjnk
5,Fats Domino,I'm Walkin',48,https://open.spotify.com/track/2gZlblsff9FKnhSIwB2ZsU
6,Fats Domino,Walking To New Orleans,42,https://open.spotify.com/track/5TcEq6qNQJ7HXeTxwB3ZGB
7,Fats Domino,My Girl Josephine,41,https://open.spotify.com/track/0CIc4SaHV9RaQvXscSlVFH
8,Fats Domino,The Fat Man,41,https://open.spotify.com/track/0ImWszBg2sQEInlAWaug31
9,Fats Domino,When The Saints Go Marching In,39,https://open.spotify.com/track/5VEIQ7S6AJehhbXAsnT27j
10,Fats Domino,Everybody's Got Something to Hide Except Me and My Monkey,39,https://open.spotify.com/track/1MX6PyMYbJtYZj9kTSBghH
1,Luke Bryan,Play It Again,75,https://open.spotify.com/track/03fT3OHB9KyMtGMt2zwqCT
2,Luke Bryan,Knockin' Boots,75,https://open.spotify.com/track/6ERR6e7h6wCqGoz1TjiUJb
3,Luke Bryan,What She Wants Tonight,73,https://open.spotify.com/track/5M3v6frAiTyqenNAeQVcxC
4,Luke Bryan,Country Girl (Shake It For Me),73,https://open.spotify.com/track/0yD66650JxhqKbW76C2qCo
5,Luke Bryan,That's My Kind Of Night,70,https://open.spotify.com/track/5HGibWoxnkYSkl6mHmAlOE
6,Luke Bryan,"Sunrise, Sunburn, Sunset",69,https://open.spotify.com/track/53yTYusPQJ1AApL1hi0Dnc
7,Luke Bryan,Most People Are Good,67,https://open.spotify.com/track/79LAFAkR1ATb4iIQvZuCL0
8,Luke Bryan,"Huntin', Fishin' And Lovin' Every Day",67,https://open.spotify.com/track/0dbzWSYpMcRtwjI1S7Pkql
9,Luke Bryan,One Margarita,66,https://open.spotify.com/track/6NhS5LwYbJ6xD7BGvlWRJO
10,Luke Bryan,I Don't Want This Night To End,66,https://open.spotify.com/track/0cV4xwUA4ue2deqq4CZFko
1,Linton Kwesi Johnson,Inglan Is A Bitch,51,https://open.spotify.com/track/3GCMoKi9KDq7UXmsClqfIQ
2,Linton Kwesi Johnson,Want Fi Goh Rave,38,https://open.spotify.com/track/2eljih1xxVHyTGnZ8MZB3A
3,Linton Kwesi Johnson,Fite Dem Back,35,https://open.spotify.com/track/5WSQjKdZB89Xd5k2FGmcdq
4,Linton Kwesi Johnson,Di Black Petty Booshwah,34,https://open.spotify.com/track/7qcN6iYT8WJWvjc68tV3Bs
5,Linton Kwesi Johnson,Sonny's Lettah (Anti-Sus Poem),33,https://open.spotify.com/track/3zij5BTF5aGm1rBDqi4NjZ
6,Linton Kwesi Johnson,Street 66,31,https://open.spotify.com/track/0tAYOwUUWdvtd4J9dUtLAw
7,Linton Kwesi Johnson,It Noh Funny,31,https://open.spotify.com/track/5z1UZA6umSJZe6NaHWxDGU
8,Linton Kwesi Johnson,Bass Culture,31,https://open.spotify.com/track/6h2SS2OiKB6wYZrd75h9n0
9,Linton Kwesi Johnson,Loraine,30,https://open.spotify.com/track/5tE3KbIFvkUwxs4SKuV6s3
10,Linton Kwesi Johnson,Reggae Sounds,28,https://open.spotify.com/track/7FGX1mnDDyaQjm6I4r558o
1,The Killers,Mr. Brightside,77,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
2,The Killers,When You Were Young,75,https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU
3,The Killers,Caution - Radio Edit,74,https://open.spotify.com/track/4cI2rd2D44mBjwUVFxTkUZ
4,The Killers,Human,74,https://open.spotify.com/track/1sTsuZTdANkiFd7T34H3nb
5,The Killers,Somebody Told Me,69,https://open.spotify.com/track/7HGTkn2aX7MNdKs7nV2xBt
6,The Killers,Read My Mind,69,https://open.spotify.com/track/7cX4PJz1old9fyFI8RlfgW
7,The Killers,The Man,67,https://open.spotify.com/track/5aWhs651KYM26HYM16kRdk
8,The Killers,Caution,66,https://open.spotify.com/track/2l8Gq9hNquNgzgv00DftKX
9,The Killers,All These Things That I've Done,65,https://open.spotify.com/track/0kYUrLVQOfx21xuXu7OGrT
10,The Killers,Just Another Girl,65,https://open.spotify.com/track/3aVyHFxRkf8lSjhWdJ68AW
1,Mötley Crüe,Kickstart My Heart,75,https://open.spotify.com/track/7GonnnalI2s19OCQO1J7Tf
2,Mötley Crüe,"Girls, Girls, Girls",70,https://open.spotify.com/track/5xLyTbCFONUGUuG0LtUxjn
3,Mötley Crüe,Home Sweet Home,70,https://open.spotify.com/track/4zXvB4MoQD8onk0NCZbeHG
4,Mötley Crüe,Dr. Feelgood,69,https://open.spotify.com/track/3U6sjwor2GyL9gwiolSi1Q
5,Mötley Crüe,Shout At The Devil,66,https://open.spotify.com/track/1hqrYSqvNc9x3BETX1cZhk
6,Mötley Crüe,Live Wire,64,https://open.spotify.com/track/06EC9TibZK2mACTZ2usK1h
7,Mötley Crüe,Wild Side,64,https://open.spotify.com/track/41wWrTueWew7qUU0Ru87Mp
8,Mötley Crüe,Looks That Kill,62,https://open.spotify.com/track/5uRN4EmPA7BWs5f4xsIl0Z
9,Mötley Crüe,Same Ol' Situation (S.O.S.),61,https://open.spotify.com/track/0FqMZmwe9qJ3nR5FuYpyoY
10,Mötley Crüe,Take Me To The Top,60,https://open.spotify.com/track/4jLTF119PfzzJoaNuj3d2p
1,Pato Banton,Go Pato,48,https://open.spotify.com/track/3aHjc7Ib2aXtfz23bCPz7j
2,Pato Banton,Baby Come Back,45,https://open.spotify.com/track/1MkcvwNhKiE5vyrw73xZtY
3,Pato Banton,Don't Sniff Coke,32,https://open.spotify.com/track/7L95DUAMyUzKX29hoeAAcj
4,Pato Banton,Legalize It!,30,https://open.spotify.com/track/4ZLYFryzPiMTanotbrjclp
5,Pato Banton,Bubbling Hot,28,https://open.spotify.com/track/12VnKgcSo2kfBUgoi2OxNQ
6,Pato Banton,Tudo De Bom,19,https://open.spotify.com/track/62UHUzks0vKuNQ8rBLhCUV
7,Pato Banton,Gwarn!,19,https://open.spotify.com/track/5qzOXcgfTeCwxsX41Mkdbl
8,Pato Banton,Universal Love,18,https://open.spotify.com/track/6qHEjkChxZWh1TJndXLgvo
9,Pato Banton,Powerful Love,16,https://open.spotify.com/track/5Rj1VErt098We2TIKWBfo4
10,Pato Banton,"Roots, Rock, Reggae",11,https://open.spotify.com/track/3rYQWwYeLEmp2BUPk2piTi
1,No Doubt,Don't Speak,67,https://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS
2,No Doubt,Just A Girl,63,https://open.spotify.com/track/5lWRaa0fBxDE5yU91npPq7
3,No Doubt,It's My Life,57,https://open.spotify.com/track/2fOxxLz9JVe53itq6pfBak
4,No Doubt,Spiderwebs,57,https://open.spotify.com/track/4ZD6SiaJi75smnel0d7jl3
5,No Doubt,Underneath It All,57,https://open.spotify.com/track/6fR6Z0Vc1K6yQWNUIKjAIR
6,No Doubt,Underneath It All - Radio 1 Live Acoustic Version [Bonus Track],49,https://open.spotify.com/track/6ysj3Lsoeg3WYqnOCynNS2
7,No Doubt,Sunday Morning,52,https://open.spotify.com/track/6yCjhDzcVIfxvTjBKhhn7P
8,No Doubt,Hey Baby,52,https://open.spotify.com/track/2QsoVMTKj5m5kgztTOep98
9,No Doubt,Hella Good,49,https://open.spotify.com/track/6AfLmKXzhEZjwiVPs5jhdV
10,No Doubt,Ex-Girlfriend,47,https://open.spotify.com/track/5ECMRJbRlj0FZRg9cRg94m
1,Tesla,Modern Day Cowboy,56,https://open.spotify.com/track/5ZIU2kT1wNjQNclQeVCz5O
2,Tesla,What You Give,55,https://open.spotify.com/track/6XKLX2SOAdS0ZDQK2PbZKn
3,Tesla,Love Song,54,https://open.spotify.com/track/0vJUdIefT5caKla9H8b1q4
4,Tesla,Little Suzi,47,https://open.spotify.com/track/5ihJU3sYiOaUhU5S4LRJBV
5,Tesla,Signs - Live At The Trocadero / 1990,44,https://open.spotify.com/track/0lyNsWWnut97Jm8aDnn3Us
6,Tesla,Gettin' Better,42,https://open.spotify.com/track/5H19HygtEjZJLdGtGdpSPR
7,Tesla,Cumin' Atcha Live,41,https://open.spotify.com/track/3U61Hscyv1eoDYr8kOPwrq
8,Tesla,Heaven's Trail (No Way Out),41,https://open.spotify.com/track/2Ae2fMLSuYZdxO9wLJ8MhN
9,Tesla,Hang Tough,41,https://open.spotify.com/track/7Ezsp0iOwWrh4bWMTI6KyX
10,Tesla,Paradise,39,https://open.spotify.com/track/48lLr0blWNLIl6hPoF3Ex1
1,offonoff,"Cigarette (Feat. Tablo, MISO)",60,https://open.spotify.com/track/14p5EKgbPx4U3P1j5JNHeh
2,offonoff,Photograph,56,https://open.spotify.com/track/0PkpRtJqrwuXhbdtJuQm7E
3,offonoff,gold (Feat. Dean),54,https://open.spotify.com/track/0EYOhg4jMf7hCLeQIxlvKL
4,offonoff,bath,54,https://open.spotify.com/track/22tAOnXPrSFOp2En3WcyyA
5,offonoff,Dance,54,https://open.spotify.com/track/3rQmTAyMDDZ73rMyhLkn98
6,offonoff,Overthinking,48,https://open.spotify.com/track/1OJExKEuSvIdtw9NIaszOc
7,offonoff,"Moon, 12:04am",48,https://open.spotify.com/track/57mWHxgHxZnhFhFiBrpYUV
8,offonoff,boy,46,https://open.spotify.com/track/77bGNpC1hZH3JSZQhR1vxn
9,offonoff,midnight,45,https://open.spotify.com/track/6SuEgkFfiESo1pMLSyAbl3
10,offonoff,in the car,44,https://open.spotify.com/track/3pYKGgI0CzsiXUtqI97tuR
1,Eagles,Hotel California - 2013 Remaster,82,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
2,Eagles,Take It Easy - 2013 Remaster,76,https://open.spotify.com/track/4yugZvBYaoREkJKtbG08Qr
3,Eagles,Life in the Fast Lane - 2013 Remaster,73,https://open.spotify.com/track/6gXrEUzibufX9xYPk3HD5p
4,Eagles,"Hotel California - Live at The Forum, Los Angeles, CA, 10/20-22/1976",69,https://open.spotify.com/track/0cNwyA4Qiyr29I90ezhr0X
5,Eagles,One of These Nights - 2013 Remaster,69,https://open.spotify.com/track/608xszaAxVh4m7NcKJiAbF
6,Eagles,Desperado - 2013 Remaster,67,https://open.spotify.com/track/2TjnCxxQRYn56Ye8gkUKiW
7,Eagles,Lyin' Eyes - 2013 Remaster,65,https://open.spotify.com/track/5lQKRR3MdJLtAwNBiT8Cq0
8,Eagles,Peaceful Easy Feeling - Eagles 2013 Remaster,65,https://open.spotify.com/track/40h65HAR8COEoqkMwUUQHu
9,Eagles,New Kid in Town - 2013 Remaster,64,https://open.spotify.com/track/6Zyz8lsnMFpIrCTuvGurCB
10,Eagles,Take It to the Limit - 2013 Remaster,64,https://open.spotify.com/track/2cWHN0WK52RGAWHgaDamUA
