Rank,Artist,Song,Popularity,URL
1,HONNE,Location Unknown ◐ - Brooklyn Session,75,https://open.spotify.com/track/4aT6vP9y2eDjxmRGm5ZqSC
2,HONNE,Day 1 ◑,68,https://open.spotify.com/track/6ZzYETKetIfNUsZUb23jgG
3,HONNE,Crying Over You ◐,66,https://open.spotify.com/track/7i1pavASRUZk62ejaUIESa
4,HONNE,Location Unknown ◐,63,https://open.spotify.com/track/6A1GBCMwbfhkB9e1thR8a8
5,HONNE,Me & You ◑,63,https://open.spotify.com/track/1ITJTMrS4cx8zdlI7DdSoo
6,HONNE,Radar (feat. HONNE),60,https://open.spotify.com/track/1WfMi7xvOti8F4dSf7atd9
7,HONNE,Someone That Loves You,51,https://open.spotify.com/track/2a5Ml671R56tzRB0WMaCfC
8,HONNE,Crying Over You ◐ (feat. RM & BEKA),58,https://open.spotify.com/track/3NULjteyVVY9F7WrAXOZIG
9,HONNE,Warm on a Cold Night,50,https://open.spotify.com/track/5pJPgy2jGvvNUNfHPvG3Zp
10,HONNE,Feels So Good ◑,57,https://open.spotify.com/track/0NdAh5vk2C5hVNy54043lj
1,Jeff Bernat,Call You Mine (feat. Geologic Of The Blue Scholars),68,https://open.spotify.com/track/4m5HKGwULoA0SvhaXiDMPR
2,Jeff Bernat,Changes,61,https://open.spotify.com/track/6YKb5UMzDOtfCfbPvJZ8XT
3,Jeff Bernat,Cruel,61,https://open.spotify.com/track/0Dw7uVJBAKCm6dfCoabJV9
4,Jeff Bernat,Still,61,https://open.spotify.com/track/6sv7ZmasB6qSiF8hWJNpDG
5,Jeff Bernat,Wrong About Forever,57,https://open.spotify.com/track/6P2BlKa7uBwKV6KVsEBkmv
6,Jeff Bernat,Wish You Well,55,https://open.spotify.com/track/5lKMZR9Imi8RREERjaJEb6
7,Jeff Bernat,Once Upon a Time,54,https://open.spotify.com/track/7fU0YxB4RyawfEDv6vtYG7
8,Jeff Bernat,If You Wonder,50,https://open.spotify.com/track/5o0yZH55eAwvRDK3EtgRoi
9,Jeff Bernat,Ms. Seductive,49,https://open.spotify.com/track/4RIh17rtkBSo81N49B7w07
10,Jeff Bernat,Just Vibe,47,https://open.spotify.com/track/0LBMWkQr0EeOyx1JN8xegE
1,Pink Sweat$,17,73,https://open.spotify.com/track/034KyQEk7IhbLtniVhBErj
2,Pink Sweat$,Honesty,72,https://open.spotify.com/track/2B1JaRSd7T7YP90n6sCh9I
